,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
335,2017-En-10800,testing ,anger,0: no anger can be inferred,0
521,2017-En-10091,"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,3: high amount of anger can be inferred,3
1227,2017-En-11059,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger,0: no anger can be inferred,0
1461,2017-En-10982,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger,2: moderate amount of anger can be inferred,2
121,2017-En-11171,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger,1: low amount of anger can be inferred,1
726,2017-En-10789,You can't fight the elephants until you have wrestled the pigs. #quoteoftheday #relentless,anger,0: no anger can be inferred,0
818,2017-En-11394,@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us. ,anger,1: low amount of anger can be inferred,1
1009,2017-En-11679,Stuck in a infuriate scrum about hegemonists.  #scrum #scrum #Stuck,anger,3: high amount of anger can be inferred,3
255,2018-En-02434,@ScottAdamsSays broke it down on #snap great analysis on #CNBC,anger,0: no anger can be inferred,0
699,2017-En-10583,@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥,anger,1: low amount of anger can be inferred,1
78,2018-En-04256,Woke up feeling fresh with a clear mind. That's never happened before.\n#morning #sober,anger,0: no anger can be inferred,0
665,2017-En-11528,Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off  #NoWorkForMe,anger,2: moderate amount of anger can be inferred,2
263,2018-En-01502,@Activehours I need someone to reply back to me immediately. I am not happy and not getting timely responses through the app! #help ,anger,3: high amount of anger can be inferred,3
254,2017-En-10455,@Kim_is__bored exactly what I have been saying on fb.. #bitter,anger,2: moderate amount of anger can be inferred,2
378,2018-En-02331,I wont rt things that might offend your faves bcs I'm better than that,anger,0: no anger can be inferred,0
322,2017-En-10207,Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,anger,3: high amount of anger can be inferred,3
177,2018-En-01125,B4 I couldnt get out of bed or look in mirror Thankful4all the support I have recieved here ImWakingUpHappyNot dreading theday ,anger,0: no anger can be inferred,0
17,2018-En-02278,Worst dreams. 😥,anger,1: low amount of anger can be inferred,1
837,2017-En-10530,"As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just ",anger,1: low amount of anger can be inferred,1
207,2017-En-10002,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,3: high amount of anger can be inferred,3
401,2017-En-10968,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger,1: low amount of anger can be inferred,1
215,2018-En-02502,Nah but as a governor how do you call someone a bum &amp; that you love calls from 'communist in Montclair' ? 😂 #crying,anger,1: low amount of anger can be inferred,1
384,2018-En-02497,"Had frustration dream that left me utterly f**king furious. Plus side: so angry couldn't sleep, wrote 1500 words. Minus side: still raging!",anger,3: high amount of anger can be inferred,3
1436,2017-En-10194,@GrxjicTank WHY though! Why did u want to offend Americans?,anger,3: high amount of anger can be inferred,3
320,2017-En-10384,"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",anger,2: moderate amount of anger can be inferred,2
364,2018-En-03879,I swear to god my husband is gonna get us murdered by someone with road rage because he drives like he's in the Indy 500,anger,3: high amount of anger can be inferred,3
945,2017-En-10163,Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,3: high amount of anger can be inferred,3
1377,2017-En-10392,That grudge you're holding keeps making an appearance because #God wants you to deal with it.,anger,2: moderate amount of anger can be inferred,2
416,2017-En-11493,@PAULROVlA the first resulted in me angrily sobbing and ranting about finnick in the cinema,anger,2: moderate amount of anger can be inferred,2
104,2018-En-03749,@TheView Joy isn't a comedian. She's a bully for fat shaming the governor. Great example she's setting for her grandson.,anger,1: low amount of anger can be inferred,1
1362,2017-En-11389,India should now react to the uri attack..... #revenge,anger,1: low amount of anger can be inferred,1
1578,2017-En-10106,Bloods boiling,anger,3: high amount of anger can be inferred,3
447,2017-En-11148,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 ,anger,1: low amount of anger can be inferred,1
1449,2017-En-10165,I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger,3: high amount of anger can be inferred,3
555,2017-En-10558,@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be ,anger,1: low amount of anger can be inferred,1
1113,2017-En-11437,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain #angry,anger,3: high amount of anger can be inferred,3
803,2017-En-11291,someone kik me @ montanashay_ \n #kikme ,anger,0: no anger can be inferred,0
1101,2017-En-11216,jelly baby is my favourite insult,anger,1: low amount of anger can be inferred,1
1095,2017-En-11485,Cuz even the bible talks about the son coming back with a fiery sword he got from his mother. They just called her a whore in revelations,anger,1: low amount of anger can be inferred,1
164,2018-En-01474,Didn't know the @ChickfilA cow day thing ended at 7:30 so showed up 30 min late looking like a cow with no sandwich #sadness 😅😅😅,anger,1: low amount of anger can be inferred,1
365,2018-En-02025,When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,anger,2: moderate amount of anger can be inferred,2
407,2017-En-10473,"Because it was a perfect illusion, but at least now I know what it was.  #ladygaga #iscalming#mysoul",anger,2: moderate amount of anger can be inferred,2
1391,2017-En-11560,@CBSBigBrother she's pathetic!!! Hated Nicole for being cute &amp; having a showmance &amp; she couldn't get one! #bitter #uglycry #BBMichelle 😖,anger,2: moderate amount of anger can be inferred,2
775,2017-En-10510,@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger,1: low amount of anger can be inferred,1
573,2017-En-10411,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,anger,2: moderate amount of anger can be inferred,2
514,2017-En-11276,@Bickley_Marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning.....oh wait. NO!!,anger,0: no anger can be inferred,0
1682,2017-En-11593,Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in.. #rage,anger,1: low amount of anger can be inferred,1
54,2018-En-00599,I literally love Paul so much #BB19 #pissed 😂,anger,0: no anger can be inferred,0
1498,2017-En-11544,@jbiggy13 @ToneCapone111 ya and the d was what I was most confident about..... our offense is as good as it's been in 20 years...our d sucks,anger,1: low amount of anger can be inferred,1
314,2017-En-10619,i resent biting my tongue.,anger,1: low amount of anger can be inferred,1
1262,2017-En-10054,@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,3: high amount of anger can be inferred,3
476,2017-En-11420,Oh yeah Squid face God madden 17 xbox1 come see me,anger,0: no anger can be inferred,0
1345,2017-En-10543,I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,anger,1: low amount of anger can be inferred,1
139,2018-En-01889,"@itskaiouji Noooo, Sunbae-nim! Don't tease me like that- 😤",anger,1: low amount of anger can be inferred,1
1068,2017-En-10171,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,3: high amount of anger can be inferred,3
530,2017-En-11589,just waggled my eyebrows up and down at the baby and she burst out laughing i love her haha,anger,0: no anger can be inferred,0
484,2017-En-10904,#oow16 #sting decent new song,anger,0: no anger can be inferred,0
