,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
178,2018-En-02352,#AmericasGotTalent live shows with so many technical faults #disheartening,sadness,2: moderate amount of sadness can be inferred,1
29,2017-En-40245,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain,sadness,2: moderate amount of sadness can be inferred,1
1065,2017-En-41058,A pretty dejected FanCam on the way. #SCFC #TBPTV,sadness,2: moderate amount of sadness can be inferred,1
683,2017-En-40480,"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",sadness,0: no sadness can be inferred,0
376,2018-En-00613,Can't stand it when lads put their middle finger up in pics ,sadness,1: low amount of sadness can be inferred,1
255,2017-En-41449,"@stevierayrob Can Elliot Friedman please stop talking, you are clueless. You haven't seen the ball since the kickoff. #mope",sadness,2: moderate amount of sadness can be inferred,1
206,2018-En-02551,The next time I go to Lagos I will gate crash somebody's owambe dressed in lace and gele to eat amala and shake my waist😑,sadness,0: no sadness can be inferred,0
1404,2017-En-40124,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness,3: high amount of sadness can be inferred,2
390,2017-En-41007,hate to see y'all frown but I'd rather see him smiling 💕✨,sadness,0: no sadness can be inferred,0
1326,2017-En-40804,I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,3: high amount of sadness can be inferred,2
1367,2017-En-40925,"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness,3: high amount of sadness can be inferred,2
733,2017-En-40815,@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,0: no sadness can be inferred,0
1338,2017-En-40301,I mourn the creativity lost.,sadness,2: moderate amount of sadness can be inferred,1
1524,2017-En-40271,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr,sadness,2: moderate amount of sadness can be inferred,1
1224,2017-En-41209,me: i've actually been doing pretty well! i'm learning to manage my depression and-\nlife: yeah that's over. that's cancelled.,sadness,2: moderate amount of sadness can be inferred,1
1383,2017-En-41138,I'm allowed to sulk,sadness,3: high amount of sadness can be inferred,2
1024,2017-En-40434,Im so serious about putting words in my mouth bitch don't add ' the ' to my sentence if I didn't say that shit on bloods,sadness,1: low amount of sadness can be inferred,1
15,2017-En-40445,@BBCSport too dull for the UK.,sadness,1: low amount of sadness can be inferred,1
155,2018-En-02142,Okay I seriously don't know how this whole twitter thing works #lost,sadness,0: no sadness can be inferred,0
251,2017-En-40519,"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",sadness,0: no sadness can be inferred,0
348,2017-En-41189,"@ProSyndicate thanks for replying, I'm ironing my shirt😂 I'd love to meet you and get an autograph but sadly I'm too young to travel.",sadness,0: no sadness can be inferred,0
353,2017-En-41187,The most depressing part of being ill is that your taste goes 😫,sadness,3: high amount of sadness can be inferred,2
486,2017-En-40613,@courtneymee I'm 3 days sober don't wanna ruin it,sadness,0: no sadness can be inferred,0
988,2017-En-41260,This nigga doesn't even look for his real family 🙄😂 #sad,sadness,3: high amount of sadness can be inferred,2
77,2017-En-41479,Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober,sadness,0: no sadness can be inferred,0
580,2017-En-41210,@MariamVeiszadeh #depressing it's so freaking close !,sadness,2: moderate amount of sadness can be inferred,1
833,2017-En-40477,@jwonder81 @MacadamionNut well of course.Progress for the sake of progress must be discouraged. The problem is the substance of the rhetoric,sadness,0: no sadness can be inferred,0
267,2018-En-02434,@ScottAdamsSays broke it down on #snap great analysis on #CNBC,sadness,0: no sadness can be inferred,0
55,2017-En-41243,Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight,sadness,0: no sadness can be inferred,0
1505,2017-En-40063,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",sadness,3: high amount of sadness can be inferred,2
1250,2017-En-41275,"There will be no #gaming video today. An old friend of mine passed last night, so I'm taking some time to grieve. Thank you #StandUpToCancer",sadness,3: high amount of sadness can be inferred,2
798,2017-En-41040,@marisa_enbot Being with you makes me somewhat gloomy.,sadness,3: high amount of sadness can be inferred,2
89,2018-En-01869,There's no excuse for making the same mistakes twice. Live &amp; Learn or deal with the consequences of being unhappy #truthbomb,sadness,2: moderate amount of sadness can be inferred,1
1478,2017-En-40717,"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",sadness,0: no sadness can be inferred,0
311,2018-En-02408,Julia and I are finally going to be able to meet PTX #crying,sadness,1: low amount of sadness can be inferred,1
321,2018-En-03337,@JoshuaRozenberg Oh dear! #tantrums,sadness,0: no sadness can be inferred,0
1519,2017-En-40452,"@Janet_Reid Wonderful post! Novelists shouldn't be discouraged by rejection, but they usually are because their work is so personal.",sadness,1: low amount of sadness can be inferred,1
524,2017-En-40579,"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",sadness,0: no sadness can be inferred,0
805,2017-En-41122,"#recession, #economic #gloom? The brightest #stars shine in the darkest nights! Our #html5 #webdesign rocks! #rtblitz #finovate #wlsb",sadness,1: low amount of sadness can be inferred,1
1078,2017-En-40148,@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.,sadness,3: high amount of sadness can be inferred,2
1098,2017-En-40888,I just got asked to hoco over instagram dm bc someone lost a bet. Love the maturity of the people in my grade!!!!,sadness,0: no sadness can be inferred,0
824,2017-En-40900,Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest #sad,sadness,3: high amount of sadness can be inferred,2
1033,2017-En-40403,"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",sadness,1: low amount of sadness can be inferred,1
386,2017-En-40291,Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious,sadness,2: moderate amount of sadness can be inferred,1
1069,2017-En-41233,But right now I'm feeling pretty desolate.,sadness,3: high amount of sadness can be inferred,2
1143,2017-En-40920,@bolain_branden @GrimsToyShow grim should find broken Matt hardy because he can delete everything lol,sadness,0: no sadness can be inferred,0
1495,2017-En-41088,@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.,sadness,3: high amount of sadness can be inferred,2
340,2018-En-00968,depression sucks😔,sadness,3: high amount of sadness can be inferred,2
898,2017-En-40558,I'm too sober time to get shit faced,sadness,0: no sadness can be inferred,0
344,2018-En-03941,Someone's nicked my lunch out the fridge at work!! Roast dinner as well! #fuming,sadness,2: moderate amount of sadness can be inferred,1
510,2017-En-40356,"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",sadness,1: low amount of sadness can be inferred,1
947,2017-En-40268,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress,sadness,2: moderate amount of sadness can be inferred,1
10,2018-En-03440,@Chan_lfc10 @paul_rule @Nuttall1878 @DeadlineDayLive @Everton We'd be fuming if the hijacked our £8m move for a relegated full back 😡,sadness,1: low amount of sadness can be inferred,1
610,2017-En-40513,@DrSRSheikh: And who asked you to gate crash with your dumb idiosyncrasies when sober people are analyzing a situation!\n@BanoBee @AK_Forty7,sadness,0: no sadness can be inferred,0
906,2017-En-40076,@6itmap I can't help but feel melancholic!,sadness,3: high amount of sadness can be inferred,2
431,2017-En-40582,#Always #borrow #money from a #pessimist. He won't #expect it #back.,sadness,0: no sadness can be inferred,0
38,2018-En-00396,Same ☹,sadness,2: moderate amount of sadness can be inferred,1
819,2017-En-40691,"“Optimism may sometimes be delusional, but pessimism is always delusional.” —Alan Cohen #believe",sadness,0: no sadness can be inferred,0
1382,2017-En-40738,I don't think Luca understands how serious I am about Fall....he has no idea what's in store for him 😂😂,sadness,0: no sadness can be inferred,0
1230,2017-En-41405,"@ReaganRachelle if I go I'm going to blow some serious money, idk if that's a sacrifice I'm willing with make",sadness,0: no sadness can be inferred,0
259,2018-En-00880,"@RoflCritic @NBTDilli @SudamaNBT ,BJP MCD busy collection of suvidha sulk from unauthorised colonies",sadness,0: no sadness can be inferred,0
558,2017-En-40192,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,sadness,2: moderate amount of sadness can be inferred,1
