,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
294,2017-En-10202,@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,2: moderate amount of anger can be inferred,1
687,2017-En-10324,Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,anger,2: moderate amount of anger can be inferred,1
21,2017-En-10127,I just love it when people make plans for me without actually including me in this process #rage,anger,3: high amount of anger can be inferred,2
404,2017-En-11172,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you.",anger,1: low amount of anger can be inferred,1
786,2017-En-10028,You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger,3: high amount of anger can be inferred,2
344,2017-En-11474,@BitchestheCat Look at those teef! ,anger,1: low amount of anger can be inferred,1
1685,2017-En-40749,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",anger,0: no anger can be inferred,0
832,2017-En-10166,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming,anger,3: high amount of anger can be inferred,2
1114,2017-En-10139,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,3: high amount of anger can be inferred,2
1319,2017-En-11287,@majesticmata didn't even realise you used that insult it was that shit mate,anger,3: high amount of anger can be inferred,2
40,2017-En-11344,@Dak2future decorations are up all over Jersey already #outrage,anger,2: moderate amount of anger can be inferred,1
297,2018-En-01602,@gunghoindallas Proverbs 8:13\nThe #fear of the #Lord is to hate #evil; Pride and #arrogance and the #evil #way And the perverse #mouth [1/2],anger,0: no anger can be inferred,0
1010,2017-En-10113,I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,3: high amount of anger can be inferred,2
746,2017-En-41169,@dlrwills turn that frown upside down buddy 🙃.,anger,0: no anger can be inferred,0
967,2017-En-10164,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger,3: high amount of anger can be inferred,2
382,2017-En-11380,"@VeyGraphics I had to unfollow, he got trolled by trolls. His revenge trolling just caused a lot of collateral damage.",anger,2: moderate amount of anger can be inferred,1
1598,2017-En-10453,Get to work and there's a fire drill. #fire  #outthere #inthedark,anger,2: moderate amount of anger can be inferred,1
384,2017-En-10058,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,3: high amount of anger can be inferred,2
98,2018-En-01793,"Wow! Today, totally seeing alot of #mean #people out in this #world! Turn it around and #start cultivating #kindness! #SuccessTRAIN #warrior",anger,0: no anger can be inferred,0
539,2017-En-10307,... flat party and I instantly get bollocked about it. ,anger,2: moderate amount of anger can be inferred,1
1507,2017-En-10725,Projection is perception. See it in someone else? You also at some level have that within you.  #worry,anger,0: no anger can be inferred,0
1425,2017-En-10009,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,3: high amount of anger can be inferred,2
1015,2017-En-10841,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",anger,0: no anger can be inferred,0
58,2018-En-01603,Russia story will infuriate Trump today. Media otherwise would be giving him tongue bath for fall of ISIS in Mosul + al-Baghdadi death.,anger,0: no anger can be inferred,0
805,2017-En-10820,pray for my boy huff,anger,0: no anger can be inferred,0
471,2017-En-10714,@BarackObama I love Lizzy Warren's latest rage against Wall Street.,anger,0: no anger can be inferred,0
742,2017-En-11505,@Markk1872  Red heads are more fiery.,anger,0: no anger can be inferred,0
