,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
169,2017-En-20804,@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n #Trump  #scifi #ccot #p2,fear,0: no fear can be inferred,0
336,2018-En-02522,Post TRNSMT blues,fear,0: no fear can be inferred,0
756,2017-En-20274,Librarians scare me,fear,1: low amount of fear can be inferred,1
404,2017-En-21111,"mattmilne76 Thank you for letting us know!  Please do not hesitate to contact us in the future, if our assistance is needed. Thank you!",fear,0: no fear can be inferred,0
1144,2017-En-20314,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,fear,1: low amount of fear can be inferred,1
128,2017-En-20843,When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' ,fear,0: no fear can be inferred,0
382,2017-En-21268,@EASPORTSFIFA EA sports technical support team really suprised me 😊 SUPRISED ME AT HOW SHIT THEY WERE #awful,fear,0: no fear can be inferred,0
289,2018-En-04198,@Zineeta_R @RusEmbUSA @mfa_russia The hatred and fear many russians have for anything non-russian is just sad.,fear,2: moderate amount of fear can be inferred,1
353,2017-En-21869,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",fear,1: low amount of fear can be inferred,1
1267,2017-En-21546,"@sandahlcarrie Your comments concern us, Carrie. Please DM your record locator and details.",fear,0: no fear can be inferred,0
1611,2017-En-21344,why won't you let me go? do i threaten all your plans? im insignificant,fear,1: low amount of fear can be inferred,1
348,2017-En-20066,Do you think humans have the sense for recognizing impending doom? #anxiety,fear,3: high amount of fear can be inferred,2
1373,2017-En-20404,"@Orrible_Ives I didn't say anything bad about the situation great mate, can't believe some were. Makes me despair of humanity",fear,0: no fear can be inferred,0
1058,2017-En-21022,Step over #fear and rely on #faith!,fear,0: no fear can be inferred,0
1971,2017-En-22246,"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL ",fear,0: no fear can be inferred,0
664,2017-En-20533,I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,fear,0: no fear can be inferred,0
