,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
619,2017-En-40321,@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS,sadness,2: moderate amount of sadness can be inferred,2
296,2018-En-00689,That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,sadness,3: high amount of sadness can be inferred,3
1236,2017-En-40371,Don't wanna go to work but I want the money ,sadness,1: low amount of sadness can be inferred,1
1010,2017-En-41144,"@devrajasmine If you change the dark images both look different, but both look like they are in a forest.",sadness,1: low amount of sadness can be inferred,1
1288,2017-En-41102,When you lose somebody close to your heart you lose yourself as well 💔 #lost,sadness,3: high amount of sadness can be inferred,3
89,2018-En-01869,There's no excuse for making the same mistakes twice. Live &amp; Learn or deal with the consequences of being unhappy #truthbomb,sadness,2: moderate amount of sadness can be inferred,2
1526,2017-En-41510,@CrystiCaro yeah agree - I think it was a family member and they covered up #sad,sadness,3: high amount of sadness can be inferred,3
1516,2017-En-21990,@keyshamackie it's fucking dreadful for live footy matches,sadness,2: moderate amount of sadness can be inferred,2
1337,2017-En-41494,@OzelleM man imagine # Ultra is promoting carnival. I think u need to be the chairperson #serious. Cause am hearing nothing,sadness,2: moderate amount of sadness can be inferred,2
275,2017-En-41104,@BlackToLive Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons.,sadness,1: low amount of sadness can be inferred,1
102,2018-En-03243,There's still sadness and hatred pero i do feel better than yesterday.,sadness,2: moderate amount of sadness can be inferred,2
732,2017-En-40127,Smokeys dad is sad :/,sadness,3: high amount of sadness can be inferred,3
452,2017-En-40135,MY CAR IS DENTED FROM THE HAIL sad,sadness,3: high amount of sadness can be inferred,3
1315,2017-En-40836,im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,1: low amount of sadness can be inferred,1
162,2018-En-00481,@KicchaSudeep No words Sir... Thank you for the concern..,sadness,2: moderate amount of sadness can be inferred,2
27,2018-En-03142,@TGowdySC No wonder why we're in this mess. #NoLoyalty #youcaved ,sadness,1: low amount of sadness can be inferred,1
899,2017-En-40330,"@cotsonika @NHL well, they should all be unhappy for the way they played.  Right @fmjacob ??",sadness,2: moderate amount of sadness can be inferred,2
957,2017-En-41043,@MHChat Childood experiences can  leave you with permanent deep sadness as adult  it can underlie everything #MHChat,sadness,3: high amount of sadness can be inferred,3
1440,2017-En-40732,I can't mourn Kid Cudi cause we have Travis Scott...,sadness,0: no sadness can be inferred,0
104,2017-En-40448,"@kikibug13 Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)",sadness,1: low amount of sadness can be inferred,1
692,2017-En-41056,"@p0stcap I've still been trying to sort through it all, but I suppose I also shouldn't have had such high expectations. #sadness",sadness,3: high amount of sadness can be inferred,3
1001,2017-En-40577,Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable. - Sydney J. Harris,sadness,0: no sadness can be inferred,0
422,2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",sadness,1: low amount of sadness can be inferred,1
438,2017-En-40292,Nature looks a lot greener on gloomy dayz,sadness,2: moderate amount of sadness can be inferred,2
259,2017-En-41514,@SalterUK second pair of scales I have bought that have stopped working after battery change. Is this an issue you are aware of?  #unhappy,sadness,2: moderate amount of sadness can be inferred,2
1068,2017-En-41304,But God will deliver the righteous to their place of salvation: no evil shall touch them، nor shall they grieve,sadness,0: no sadness can be inferred,0
184,2018-En-00941,@ProfessorF @Mediaite @law_newz Childish temper #tantrums are all the left has left. :),sadness,1: low amount of sadness can be inferred,1
89,2017-En-41389,"_Her mind is a #dark room,\nDeveloping #Madness  ♨😘",sadness,2: moderate amount of sadness can be inferred,2
1175,2017-En-40655,"@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~",sadness,0: no sadness can be inferred,0
791,2017-En-40348,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,sadness,1: low amount of sadness can be inferred,1
1506,2017-En-41374,now im all alone and my joy's turned to moping,sadness,3: high amount of sadness can be inferred,3
1079,2017-En-40011,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness,3: high amount of sadness can be inferred,3
249,2017-En-40822,My life went from happy to unhappy..,sadness,3: high amount of sadness can be inferred,3
