,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
117,2018-En-03667,"@_ruthharvey_ happy bday Ruth, hope you have an amazing day 💘💘x",joy,3: high amount of joy can be inferred,2
1518,2017-En-30007,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",joy,3: high amount of joy can be inferred,2
1249,2017-En-30083,@JackAndJack I'm so lively for listen💗😀,joy,3: high amount of joy can be inferred,2
706,2017-En-31321,These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,joy,3: high amount of joy can be inferred,2
247,2017-En-30620,Today's realisation that it was the last time I watch swimming lesson cos I go back to work next week lead to a joyous bedtime. #worstoneyet,joy,0: no joy can be inferred,0
335,2017-En-31223,"Good Master Vernon, welcome, nephews, from Bellario :\nThere is my lord, that thou interrupt'st our merriment.",joy,0: no joy can be inferred,0
1314,2017-En-30828,I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,3: high amount of joy can be inferred,2
1522,2017-En-31266,@sophieRblake @SkySpeedway @Kelvin_Tatum @chrislouisIWSC no wonder Kelvin and Chris are smiling! 😍,joy,3: high amount of joy can be inferred,2
372,2017-En-30343,Watch this amazing live.ly broadcast by @elise_awsome_11  #musically,joy,1: low amount of joy can be inferred,1
28,2018-En-02798,"Whenever I turn on the radio and hear Bob Dylan's Knocking on Heaven's Door being played, I assume he's died. #relieved #notyet #someday",joy,0: no joy can be inferred,0
90,2018-En-01726,A loss ain't a loss it's a lesson #smile,joy,0: no joy can be inferred,0
205,2018-En-02584,@rickysnecklace I'm so proud Mils! Keep smiling ❤️,joy,3: high amount of joy can be inferred,2
1509,2017-En-30576,Tip 5: Don't worry about pleasing everyone. #TitanWisdom,joy,0: no joy can be inferred,0
1470,2017-En-31153,"You dont have to feel grateful to be grateful, for it is written  ' all things work together for good'  for those who love God. ",joy,0: no joy can be inferred,0
1326,2017-En-31111,A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,joy,0: no joy can be inferred,0
795,2017-En-30121,Smile at people and see what happens.  I think you'll be surprised #smile more #surprisepeople #influenceinternational,joy,3: high amount of joy can be inferred,2
8,2018-En-02035,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage. Lao Tzu #wedding #happy #love",joy,3: high amount of joy can be inferred,2
79,2018-En-00350,"I'm #happy as f*** to be accepted with my #chromesthesia by my #CBT doctress, never called 'crazy' for my #colors :-)",joy,3: high amount of joy can be inferred,2
789,2017-En-30071,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda 😂😂😂,joy,3: high amount of joy can be inferred,2
1465,2017-En-30481,"@IndieWire @cinemaeyehonors #WaltzWithBashir was incredible, tho I think it's more of an #animated film than #documentary about #Lebanon war",joy,1: low amount of joy can be inferred,1
473,2017-En-30724,Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy ,joy,0: no joy can be inferred,0
401,2017-En-30561,the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,joy,0: no joy can be inferred,0
1238,2017-En-31048,"#IfIWerePresident \nMy goal would be for us all to be miserable, yet jovial in the Co. of others. U know, civil but with realization of self.",joy,0: no joy can be inferred,0
989,2017-En-30984,Anyone who drinks sparkling water is a demon,joy,0: no joy can be inferred,0
484,2017-En-31276,I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper #happy #letsdance #dirtydancinginthemoonlight👌,joy,3: high amount of joy can be inferred,2
119,2018-En-01394,Be gracious to me O God...for my soul takes #refuge in You; in the shadow of Your wings I will take #refuge... psalm 57:1 #hope #jesus #joy,joy,1: low amount of joy can be inferred,1
357,2017-En-31047,✨you make me happy @EthanDolan @GraysonDolan✨,joy,3: high amount of joy can be inferred,2
