,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
1516,2017-En-20576,Anyone else find @Microsoft 'anniversary windows 10 update 1607' a Complete #nightmare,fear,0: no fear can be inferred,0
873,2017-En-22129,"Idk why but this Time around its so hard that it hurts, I already miss them all so much #silly #family #friends ",fear,1: low amount of fear can be inferred,1
2035,2017-En-22118,Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,fear,3: high amount of fear can be inferred,3
212,2018-En-03269,"Listening to these refugee children, barely a decade old, describe the horrific acts they were forced to commit is terrifying. #DatelineSBS",fear,3: high amount of fear can be inferred,3
897,2017-En-21590,If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. #fear,fear,2: moderate amount of fear can be inferred,2
239,2018-En-04326,#DamilolaOurLovedBoy So upsetting 😢😢. Why do people want to hurt others! Such a cruel world we live in #heartbreaking,fear,1: low amount of fear can be inferred,1
677,2017-En-22250,"She: Why are you listening to The Eurythmics?\nMe: It's a Polish Gothic Metal band.\nShe: Why do I even ask... (exits room, shaking head)",fear,0: no fear can be inferred,0
375,2018-En-03916,Got woken up by a road sweeper I was trying to sleep ,fear,0: no fear can be inferred,0
1629,2017-En-20098,Jimmy Carr makes me want to cry and cry *shiver* #awful,fear,2: moderate amount of fear can be inferred,2
1820,2017-En-20372,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. ",fear,1: low amount of fear can be inferred,1
518,2017-En-20632,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,fear,0: no fear can be inferred,0
1799,2017-En-20004,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear,3: high amount of fear can be inferred,3
1386,2017-En-20199,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,fear,2: moderate amount of fear can be inferred,2
543,2017-En-20271,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,fear,1: low amount of fear can be inferred,1
1284,2017-En-20167,I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit 😭,fear,2: moderate amount of fear can be inferred,2
80,2018-En-02222,Totally scare for this upcoming results .,fear,3: high amount of fear can be inferred,3
793,2017-En-21538,Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont ,fear,2: moderate amount of fear can be inferred,2
2024,2017-En-20424,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",fear,0: no fear can be inferred,0
979,2017-En-20950,They used to laugh at her coz she couldn't afford a junky now they stare in awe while she is winning.,fear,0: no fear can be inferred,0
2078,2017-En-21857,me: loves being the center of attention in every way\nalso me: gets nervous to talk in front of class,fear,1: low amount of fear can be inferred,1
613,2017-En-21312,what to wear Friday \nspeaking in front of 100's.   #nervous,fear,3: high amount of fear can be inferred,3
1022,2017-En-20688,"#Charlotte's #young &amp; #restless; I applaud ur fire bt always b respectful of authority, police, elders, parents. Violence, not the way 🙏🏽✌🏽️",fear,0: no fear can be inferred,0
1093,2017-En-21512,Why are all of these people leaving Blizzard??? D: It's giving me a frighten!,fear,2: moderate amount of fear can be inferred,2
30,2017-En-21205,"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,2: moderate amount of fear can be inferred,2
2009,2017-En-21801,to shake and my mouth was chattering and I couldn't take right because all of my body was trembling so I went outside,fear,3: high amount of fear can be inferred,3
822,2017-En-21280,@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare,fear,1: low amount of fear can be inferred,1
35,2018-En-00159,Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous,fear,2: moderate amount of fear can be inferred,2
209,2018-En-02533,Don't fucking tag me in pictures as 'family first' when you cut me out 5 years ago. You're no one to me. ,fear,1: low amount of fear can be inferred,1
469,2017-En-22087,@C1TYofFL1NT This will haunt my dreams. @JoePrich,fear,2: moderate amount of fear can be inferred,2
230,2017-En-22168,"Just Laying Here, Can't Sleep 4 Some Reason #restless",fear,0: no fear can be inferred,0
646,2017-En-21066,Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression  #intuition #meditation #book,fear,0: no fear can be inferred,0
329,2018-En-00024,"Just watching #Phoenix video for the first time. Holy fuck, this guy is seriously deranged, unhinged. Why is everyone not #terrified?",fear,2: moderate amount of fear can be inferred,2
2217,2017-En-21292,So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media #fear,fear,2: moderate amount of fear can be inferred,2
1357,2017-En-20308,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 ,fear,1: low amount of fear can be inferred,1
972,2017-En-21754,"If u know anything about football help me out here, who should I start",fear,0: no fear can be inferred,0
1627,2017-En-20054,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate ",fear,3: high amount of fear can be inferred,3
232,2017-En-20092,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear,3: high amount of fear can be inferred,3
1094,2017-En-20781,@isthismike_p that nigga is horrible bro,fear,0: no fear can be inferred,0
917,2017-En-22076,The cure for anxiety is an intimate relationship with Christ. - 1 John 4:18 ,fear,0: no fear can be inferred,0
193,2017-En-22217,Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours,fear,3: high amount of fear can be inferred,3
727,2017-En-20791,Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 #nightmare,fear,0: no fear can be inferred,0
2154,2017-En-20117,@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay,fear,2: moderate amount of fear can be inferred,2
279,2017-En-20729,@Lillie_Billy don't worry me and my mans @JJB1Owens gave him a piece of our mind,fear,0: no fear can be inferred,0
266,2017-En-20028,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,fear,3: high amount of fear can be inferred,3
1681,2017-En-21364,"#GoodAfternoon! ^^ Doesn't matter whn you #start something, as long as you start it #today. 'Age' only exists in the mind. You are #Timeless",fear,0: no fear can be inferred,0
478,2017-En-20242,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,fear,1: low amount of fear can be inferred,1
1409,2017-En-20493,"@tbergg1 mine are good rn, gonna be horrid after next week",fear,0: no fear can be inferred,0
244,2018-En-01052,'we need to do something. something must be done!!!!!'\n\nyour anxiety is amusing. nothing will be done. despair.,fear,3: high amount of fear can be inferred,3
1144,2017-En-20314,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,fear,1: low amount of fear can be inferred,1
1394,2017-En-21878,T minus 10 hours till I meet with a designer who wants me to model his new fashion line 😬😶 !!!,fear,1: low amount of fear can be inferred,1
1024,2017-En-21728,@yupdats_jess @nereriveraa_ this doesn't concern you OR your sister. So show up if you want too lol.,fear,0: no fear can be inferred,0
1612,2017-En-22215,"@westelm tells me my order will ship on Sept 12, arriving by Sept 19. Today is the 22. 😐 #lies #terrible #whereismyfurniture",fear,1: low amount of fear can be inferred,1
1249,2017-En-20080,@camilluddington the fact that YOURE nervous makes me want to crawl in a hole,fear,3: high amount of fear can be inferred,3
238,2018-En-03686,@MikeAndMike @Buster_ESPN if you get time.. @Orioles buyers it sellers or what are we going to do!!?! #panic,fear,2: moderate amount of fear can be inferred,2
678,2017-En-21285,When City Hall has the fire alarm go off and it's been 15 minutes and the fire department still isn't here,fear,1: low amount of fear can be inferred,1
2230,2017-En-21805,"just looked at wood's goal again and i dont think his first chance is that bad a miss, horrible height hit hard and level,did well to hit it",fear,1: low amount of fear can be inferred,1
782,2017-En-20038,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear,3: high amount of fear can be inferred,3
1814,2017-En-21954,"@JonRiley7 #VoteYourConscience or succumb to #fear? 'He is #scary, he is #dangerous!' -@HillaryClinton's #alarmist #PATRIOTACT platform.",fear,1: low amount of fear can be inferred,1
267,2017-En-21747,❤︎I... I can't! I'm scared! Bees terrify me.,fear,3: high amount of fear can be inferred,3
750,2017-En-21522,There is nothing like being in the shower when the power goes out 😳 #creepy ,fear,3: high amount of fear can be inferred,3
