,ID,SentimentText,Affect Dimension,Intensity Class,Sentiment
418,2017-En-30009,"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot",joy,3: high amount of joy can be inferred,3
1198,2017-En-31427,"If you want others to be #happy, practice #compassion. If you want to be happy, practice compassion.' Dalai Lama",joy,2: moderate amount of joy can be inferred,2
419,2017-En-30011,It's meant to be!! #happy #happy,joy,3: high amount of joy can be inferred,3
1329,2017-En-31300,Obfuscated magazines in passage to unite with in order to thine mirth conjunction treat quotient sufficiently: lEAqIWY,joy,0: no joy can be inferred,0
534,2017-En-30915,#twd comes on soon ,joy,0: no joy can be inferred,0
356,2017-En-30969,Ever wake up and instantly feel happy?,joy,2: moderate amount of joy can be inferred,2
1577,2017-En-30742,$SRPT Why would Etep patients &amp; Mom's advocate for a drug if it did not work? Anyone listen to the Etep MD's @ Adcomm.. all were elated.,joy,0: no joy can be inferred,0
384,2017-En-30975,I'm the reason I smile everyday 💯,joy,3: high amount of joy can be inferred,3
525,2017-En-30898,@r0Ils ppl get triggered over u smiling they're irrelevant,joy,0: no joy can be inferred,0
152,2017-En-30110,"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership",joy,3: high amount of joy can be inferred,3
1256,2017-En-30962,"@CarolynTopol Ciara asks was it a sci-fi movie, Julie &amp; Jen just stare, Claire on her phone, Joey bolts when the cab honks. LMAO ",joy,2: moderate amount of joy can be inferred,2
951,2017-En-31070,Kinda wished I watched mischievous kiss before playful kiss,joy,1: low amount of joy can be inferred,1
1431,2017-En-30861,@yungdoujin wouldn't that basically be sparkling water,joy,0: no joy can be inferred,0
1173,2017-En-30460,Watch this amazing live.ly broadcast by @rosannahill  #musically,joy,1: low amount of joy can be inferred,1
220,2017-En-30727,"At 12:01, Tumblr became sentient. At 1.:02, Tumblr posted gn animated gif about it. At 12:03, Tumblr shipped itself.",joy,0: no joy can be inferred,0
60,2017-En-30982,"I envy the relentless, your cheerful smile aimed at the pouring rain, your positive attitude is an art you have continually mastered.",joy,1: low amount of joy can be inferred,1
191,2017-En-31238,Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.,joy,2: moderate amount of joy can be inferred,2
367,2017-En-30137,Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip,joy,3: high amount of joy can be inferred,3
1350,2017-En-30354,"Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy,1: low amount of joy can be inferred,1
145,2017-En-30994,@WHUFC_HUB @westhamtransfer @TheHammers_ I don't see any reason for optimism at this point. Just stringing together bad performances.,joy,0: no joy can be inferred,0
441,2017-En-31504,@gothictana im a delight,joy,2: moderate amount of joy can be inferred,2
210,2018-En-03022,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise 😂 That pizza segment! Plus I love her and Jazzy's friendship! ,joy,3: high amount of joy can be inferred,3
392,2017-En-31475,Accept the challenges so that you can feel the exhilaration of victory. George S. Patton #quote #yeg,joy,1: low amount of joy can be inferred,1
303,2017-En-30390,I aspire to have Val's self confidence and optimism tbh 👏💖 #GBBO,joy,1: low amount of joy can be inferred,1
797,2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,joy,1: low amount of joy can be inferred,1
82,2018-En-00763,@duarteamanda @theseantcollins Lmao the lack of self awareness in this last tweet is genuinely awe inspiring,joy,1: low amount of joy can be inferred,1
62,2018-En-00119,'It is not uncommon for #people to spend their whole life waiting to start living.' ~ Eckhart Tolle #happiness #live,joy,1: low amount of joy can be inferred,1
1606,2017-En-30640,backed pats -2.5 10/11 just before #pleasing,joy,0: no joy can be inferred,0
1039,2017-En-31152,"You dont have to feel grateful to be grateful, for it is written  ' all things work together for good'  for those who love God. #cheerful",joy,2: moderate amount of joy can be inferred,2
825,2017-En-30129,@LiamJamesVernon love the optimism!! BLUE MOON!,joy,3: high amount of joy can be inferred,3
228,2017-En-30429,Panda eyed jaunty after watching jaws until late!,joy,1: low amount of joy can be inferred,1
541,2017-En-30108,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun,joy,3: high amount of joy can be inferred,3
521,2017-En-30512,@Hank_nsno @RonaldKoeman cheering and clapping I assume,joy,1: low amount of joy can be inferred,1
62,2017-En-30745,Early morning cheerfulness can be extremely obnoxious #ALDUB62ndWeeksary,joy,0: no joy can be inferred,0
1045,2017-En-30115,"Good night, Twitter world! Wish you all good sleep / productive jovial days! :)",joy,3: high amount of joy can be inferred,3
1257,2017-En-31097,Accept the #challenges so that you can feel the exhilaration of victory.,joy,0: no joy can be inferred,0
1171,2017-En-30327,Watch this amazing live.ly broadcast by @iamjustinburke  #musically,joy,2: moderate amount of joy can be inferred,2
129,2018-En-02292,thought I was a bad driver until I went to college #relieved,joy,1: low amount of joy can be inferred,1
298,2017-En-30606,"The birds chirp , the sun shines and the wind chimes chime. There was once a smile on this face.",joy,0: no joy can be inferred,0
318,2017-En-30247,"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n #funny #pun #punny #lol ",joy,2: moderate amount of joy can be inferred,2
1063,2017-En-30912,The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire,joy,0: no joy can be inferred,0
968,2017-En-31003,I'm highly animated even though I'm decomposing.,joy,0: no joy can be inferred,0
1420,2017-En-30395,"Charlotte and a friend just climbed to the top of a windmill! Think the view was easy, breezy, beautiful? @PlayHollywoodU",joy,1: low amount of joy can be inferred,1
1178,2017-En-31550,@XGames looks exhilarating! Looking forward to seeing 👍🏼,joy,3: high amount of joy can be inferred,3
735,2017-En-31332,"Lord Jesus, I don’t want to be in prison. I want to be free. Entice my heart with the beauty of Your truth &amp; allow me to rejoice in it. Amen",joy,0: no joy can be inferred,0
177,2018-En-02808,Someone needs to start listening to @OssoKXLY about #AllStarGame2017 ideas. #brilliant @700espn,joy,1: low amount of joy can be inferred,1
687,2017-En-30472,@rosyIipH glee glee glee glee gLEE GLEE i LOST LOST LOST lowe much,joy,1: low amount of joy can be inferred,1
1087,2017-En-30753,my haters are like crickets. they chirp all day but when I walk past them they shut the fuck up.- @DritaDavanzo (my idol),joy,0: no joy can be inferred,0
675,2017-En-31394,"@eleanor_binks at least Blake lively and Ryan Reynolds are still together, God bless what a beaut couple",joy,1: low amount of joy can be inferred,1
1326,2017-En-31111,A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,joy,0: no joy can be inferred,0
276,2018-En-00155,wow :o this was included in the playlist #awesome,joy,3: high amount of joy can be inferred,3
878,2017-En-31345,@reinervshunter you got this💙 #staystrong #smile #yourebeautiful,joy,3: high amount of joy can be inferred,3
60,2018-En-00037,Just received the fantastic news that our next 9 bed 'Sui Generis' HMO has full planning permission. Build to start 01 September. #excited,joy,3: high amount of joy can be inferred,3
